id,web_name,minutes,goals_scored,assists,expected_goals,expected_assists,xGI,expected_goals_conceded,defensive_contribution_per_90,starts,yellow_cards,red_cards,saves,penalties_missed,goals_conceded,own_goals,clean_sheets,GI,overperformance,highlight
1,Raya,1260,0,0,0.0,0.04,0.04,7.38,0.0,14,1,0,21,0,7,0,8,0,-0.04,False
5,Gabriel,990,1,2,0.82,0.69,1.51,6.17,9.09,11,1,0,0,0,5,0,7,3,1.49,False
6,Saliba,814,0,0,0.29,0.24,0.53,4.72,6.86,10,0,0,0,0,4,0,5,0,-0.53,False
7,Calafiori,1081,1,2,2.49,0.32,2.81,5.53,5.99,14,4,0,0,0,6,0,8,3,0.18999999999999995,False
8,J.Timber,1107,2,3,2.88,0.71,3.59,6.02,5.77,12,2,0,0,0,7,0,6,5,1.4100000000000001,False
16,Saka,890,4,1,3.31,2.94,6.25,5.36,7.89,10,0,0,0,0,5,0,5,5,-1.25,True
17,Ødegaard,324,0,1,0.16,0.93,1.09,2.98,7.78,5,0,0,0,0,1,0,2,1,-0.09000000000000008,False
18,Madueke,409,0,0,0.42,0.97,1.39,2.6,4.4,5,0,0,0,0,2,0,3,0,-1.39,False
19,Martinelli,330,1,0,0.95,0.11,1.06,2.76,5.18,4,0,0,0,0,1,0,2,1,-0.06000000000000005,False
20,Trossard,719,3,3,2.14,1.23,3.37,3.67,4.76,8,0,0,0,0,5,0,4,6,2.63,False
21,Rice,1155,2,5,1.52,2.96,4.48,6.58,9.74,13,1,0,0,0,7,0,7,7,2.5199999999999996,False
22,Merino,680,3,3,2.09,0.87,2.96,3.85,8.87,7,0,0,0,0,5,0,3,6,3.04,False
26,Zubimendi,1173,2,1,0.59,1.04,1.63,6.64,8.52,13,3,0,0,0,7,0,8,3,1.37,False
266,Eze,890,4,3,2.54,1.37,3.91,4.85,6.17,10,0,0,0,0,5,0,6,7,3.09,False
662,Mosquera,429,0,0,0.0,0.43,0.43,2.68,7.34,4,1,0,0,0,4,0,1,0,-0.43,False
666,Gyökeres,826,4,0,4.45,0.66,5.11,4.63,3.16,10,2,0,0,0,3,0,5,4,-1.1100000000000003,False
32,Martinez,990,0,0,0.0,0.03,0.03,12.69,0.0,11,1,0,27,0,8,0,4,0,-0.03,False
36,Cash,1236,2,1,0.34,1.34,1.68,18.07,6.04,14,3,0,0,0,13,0,5,3,1.32,False
37,Digne,972,0,3,0.35,1.48,1.83,13.48,4.63,12,2,0,0,0,8,0,5,3,1.17,False
38,Konsa,1145,0,0,0.31,0.19,0.5,17.47,5.97,13,0,1,0,0,13,0,5,0,-0.5,False
